date,title,image,link
2024-05-10,习近平结束访欧之行，为何选择这三个国家？节目全长,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/5315/production/_133296212_p0hx88xf.jpg,https://www.bbc.com/zhongwen/simp/chinese-news-68991632
2024-05-10,中国国内旅游火爆，但为什么外国人望而却步,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/4299/production/_133294071_b5f581cd-33a1-4c8b-8786-09e9b6b3c08c.jpg,https://www.bbc.com/zhongwen/simp/chinese-news-68988604
2024-05-10,台湾街头访问：为什么越来越多人想要“永远维持现状”？节目全长,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/C24B/production/_133293794_7cb7fa4f-ae81-4a29-8db6-cb8eef5bf682.jpg,https://www.bbc.com/zhongwen/simp/chinese-news-68963710
2024-05-09,习近平访塞尔维亚：欧洲首个“命运共同体”的战略意义与特殊地位,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/E676/production/_133289985_gettyimages-2151447758.jpg,https://www.bbc.com/zhongwen/simp/world-68974813
2024-05-09,拜登搬出杀手锏阻以色列进攻拉法，威胁停供部分武器,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/4D9C/production/_133286891_8f42633fcce23338f91d6f82f517e6a2ca7319f5.jpg,https://www.bbc.com/zhongwen/simp/world-68982222
2024-05-07,习近平访法：高规格接待、两重压力与“分化欧洲”,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/11B46/production/_133281527_whatsubject.jpg,https://www.bbc.com/zhongwen/simp/world-68970372
2024-05-07,加沙战争：哈马斯求和后以军攻入拉法，内塔尼亚胡面临艰难选择,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/B78B/production/_133278964_whatsapp_image_2024-05-07_at_07.51.36.jpg,https://www.bbc.com/zhongwen/simp/world-68968474
2024-05-07,俄乌战争：调查可能已流入欧洲战场的朝鲜导弹,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/8E2B/production/_133259363_thumbnailnewnorth_korea_weapons_to_russia_976x549_index_v2promo.png,https://www.bbc.com/zhongwen/simp/world-68961164
2024-05-06,香港零售餐饮复苏乏力旺角玩具小店老板忍痛关店节目全长,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/12333/production/_133274547_p0hw8ms5.jpg,https://www.bbc.com/zhongwen/simp/chinese-news-68963757
2024-05-06,以色列关停境内半岛电视台突袭办事处节目全长,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/C839/production/_133275215_p0hw9n34.jpg,https://www.bbc.com/zhongwen/simp/world-68964805
